Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.0001,64,60,30,150,-0.620321924,16.4556962,0.532604953
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.8,0.0005,16,60,30,150,-0.76019703,10.97046414,0.598299572
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,50,-0.170322876,13.08016878,0.602979151
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,50,-0.292876531,14.34599156,0.788270557
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,50,-0.368832462,10.97046414,0.72559827
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0001,32,60,30,50,-0.202605373,11.81434599,0.822667507
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0001,32,60,30,50,-0.202554637,8.016877637,0.810352514
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,32,60,30,50,-0.370885692,6.329113924,0.59167151
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,50,-0.196054472,11.39240506,0.957691058
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,150,-0.237281749,6.751054852,0.752105534
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.001,32,60,30,50,-0.53691338,8.438818565,0.56965569
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.0005,32,60,30,50,-1.481769673,9.70464135,0.71565698
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,150,-0.230153629,8.016877637,0.704407305
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0001,32,60,30,50,-0.280976337,13.92405063,0.727556688
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,32,60,30,50,-0.291363809,11.81434599,0.793142459
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0001,32,60,30,50,-0.298566989,9.282700422,0.654656085
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0001,32,60,30,50,-0.238982461,10.54852321,0.855215327
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,0.8,0.001,64,60,1,150,0.904794751,36.25,0.55660158
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.5,0.001,64,60,1,100,0.886229429,37.08333333,0.375535019
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,0.3,0.001,32,60,1,150,0.920134475,35.41666667,0.443304257
