Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.3,0.001,32,60,30,150,leaky_relu,-2.875183029,11.39240506,0.779607013
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.2,0.001,64,60,30,50,leaky_relu,0.248063668,13.92405063,1.707584531
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.2,0.001,64,60,30,50,leaky_relu,-2.202760721,12.65822785,0.77878023
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.4,0.0005,64,60,30,50,relu,0.103483157,13.5021097,0.93653736
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.345629293,25.3164557,1.473241173
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.091519947,9.70464135,0.797108784
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.4,0.001,64,60,30,50,leaky_relu,0.132966027,13.92405063,0.759995928
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.290136521,21.09704641,0.894415786
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.130574465,16.4556962,0.89134179
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.0005,64,60,30,50,leaky_relu,-0.173935338,17.29957806,0.848753423
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.4,0.0005,32,60,30,50,leaky_relu,-1.614107003,5.063291139,0.734846274
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.0005,64,60,30,50,leaky_relu,0.140490533,14.76793249,0.762686458
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.0005,64,60,30,50,leaky_relu,0.196282392,16.87763713,0.84336891
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.4,0.001,64,60,30,50,leaky_relu,0.129979758,14.76793249,1.020330913
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.2,0.0005,64,60,30,50,leaky_relu,0.218485029,18.56540084,0.675478238
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.5,0.001,64,60,30,50,leaky_relu,0.090958139,11.81434599,0.844596836
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.4,0.0005,64,60,30,50,leaky_relu,0.048428646,16.03375527,0.634930016
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.5,0.0005,32,60,1,100,relu,0.577708611,10.41666667,0.575045269
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0001,64,60,1,100,relu,0.736034128,33.33333333,0.670915125
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0001,64,60,1,100,leaky_relu,0.839952832,41.66666667,0.518841428
