Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.5,0.0005,16,60,1,150,"(16, 1)",Tanh,0.023592301323959553,4.305066376343636,0.9607303459273341,68.33333333333333,0.42068628790197016
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.8,0.0005,16,60,1,150,"(16, 1)",Tanh,0.024382372931884787,4.511366365700693,0.958056139350753,67.5,0.8747445167423014
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.5,0.001,64,60,1,150,"(16, 1)",ReLU,0.029338729716839176,6.298869435770799,0.9392705881511982,46.25,0.5518209553571406
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.5,0.0005,32,60,1,150,"(16, 1)",Sigmoid,0.05778967300737051,13.99632122931268,0.7643774038346829,9.583333333333334,0.4883681135029171
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.30000000000000004,0.0005,16,60,1,50,"(16, 1)",Tanh,0.031027669241837377,5.994124914497003,0.9320773269344267,55.41666666666667,0.679591486422395
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,16,60,1,150,"(16, 1)",Tanh,0.02908732377148026,5.657734215162416,0.9403069193158693,51.66666666666667,0.5997120021369102
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0005,16,60,1,150,"(16, 1)",Tanh,0.022963137380262174,4.141579364258866,0.962796918742569,68.75,0.6702985897178789
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0005,16,60,1,150,"(16, 1)",Tanh,0.023567500819407863,4.29936202403686,0.9608128639767467,66.25,0.4798794014434152
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0005,16,60,1,150,"(16, 1)",Tanh,0.023008704567938937,4.192237726039131,0.9626491234528572,70.0,0.6749478838517885
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.5,0.0005,64,60,30,150,"(16, 1)",Sigmoid,0.11890886923027753,26.642921821296987,-0.18358770231856303,12.236286919831224,0.9105627245761523
