Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,150,-0.583717004,13.08016878,0.779607395
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.0001,32,60,30,100,0.346195863,17.72151899,0.853136008
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.0005,64,60,30,100,0.32981618,20.25316456,1.117772138
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,64,60,30,100,0.337339454,21.94092827,0.882602374
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.0005,64,60,30,100,0.399326536,18.14345992,1.133157639
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.0001,64,60,30,100,0.275159648,17.29957806,0.803021786
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.6,0.0005,32,60,30,50,0.19298311,13.5021097,0.623913288
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0005,64,60,30,100,0.347857408,23.62869198,1.676899876
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.0001,64,60,30,100,0.280244497,16.4556962,0.876542683
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.0005,32,60,30,150,0.334114565,17.72151899,1.084402081
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0001,16,60,30,50,-0.127373151,15.18987342,1.16625932
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,100,0.387557179,17.29957806,1.191242978
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,64,60,30,100,0.261793832,16.87763713,1.145304625
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,100,0.338988586,15.18987342,1.517382377
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,64,60,30,100,0.307297216,21.51898734,1.446701073
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.0005,64,60,30,100,0.358938515,17.29957806,1.132819938
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.965064805,70,0.787332473
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.0001,16,60,1,100,0.840444768,34.16666667,0.478242907
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.001,64,60,1,50,0.891842163,48.33333333,0.588830854
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.0001,16,60,1,50,0.790436176,43.75,0.624693264
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.3,0.0001,16,60,1,100,0.253516925,9.166666667,0.802208541
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.001,16,60,1,100,-1.339881443,4.583333333,0.857053991
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0005,16,60,1,100,0.85129023,28.33333333,0.446809677
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,64,60,1,50,0.695788748,37.5,0.781684973
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,64,60,1,50,0.838627895,37.91666667,0.664912634
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.8,0.0005,32,60,1,50,0.801316409,34.58333333,0.507611642
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.956231629,62.91666667,0.560663687
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.960149115,67.08333333,0.547345544
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.953598908,61.25,0.577366216
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.5,0.001,32,60,1,150,0.945854665,57.91666667,0.500571262
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.001,32,60,1,150,0.94861649,58.33333333,0.510339464
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.0005,32,60,1,150,0.908360056,45,0.440046748
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.001,32,60,1,150,0.949879431,61.66666667,0.654505138
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,32,60,1,150,0.900339417,32.08333333,0.687189012
