Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.001,64,60,30,100,leaky_relu,-13.66269934,15.38461538,1.007509566
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0001,64,60,30,150,relu,-12.34442412,8.974358974,1.007509566
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,30,150,leaky_relu,-7.597896725,16.66666667,0.945020112
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.3,0.0001,32,60,30,100,leaky_relu,-10.15999126,27.35042735,1.336502372
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.2,0.001,64,60,30,50,relu,-15.76945306,12.39316239,1.007509566
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,64,60,30,100,relu,-15.5016178,12.82051282,1.007509566
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0001,32,60,30,50,relu,-8.886406314,16.23931624,1.095522398
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0001,32,60,30,50,relu,-8.600739673,20.94017094,0.99196124
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0001,32,60,30,50,relu,-9.11147133,12.39316239,1.008711204
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.3,0.0001,32,60,30,50,relu,-7.01918684,20.51282051,1.08104951
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,32,60,1,150,leaky_relu,-0.085533669,60.33755274,0.882871898
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,32,60,1,150,leaky_relu,-0.014664008,66.24472574,0.972392315
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.3,0.0005,32,60,1,150,relu,-4.463501666,12.23628692,1.093827032
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,32,60,1,150,relu,-1.884267762,24.05063291,0.895976291
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.5,0.0001,32,60,1,50,relu,-3.872252151,18.56540084,0.956194175
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.3,0.0005,64,60,1,100,leaky_relu,-3.611039946,11.39240506,0.825273678
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.2,0.001,32,60,1,100,leaky_relu,-3.586144922,18.98734177,0.808790323
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.4,0.0001,64,60,1,150,leaky_relu,-2.425024335,43.03797468,1.069605634
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.5,0.0001,32,60,1,150,relu,-0.925656922,34.17721519,1.086014569
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,64,60,1,100,leaky_relu,-5.160787646,27.00421941,0.910734774
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.2,0.001,64,60,1,50,leaky_relu,-3.096162246,19.83122363,0.825273678
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0005,32,60,1,150,leaky_relu,0.136036468,62.86919831,0.879148365
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.4,0.0005,32,60,1,150,leaky_relu,-0.978757865,27.00421941,0.820866865
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,2,0.4,0.0005,32,60,1,150,leaky_relu,-0.174119391,57.38396624,0.895339422
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.001,32,60,1,150,leaky_relu,-0.153986994,70.46413502,1.275201546
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.5,0.0005,32,60,1,50,leaky_relu,-2.435671886,8.016877637,0.801474542
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.2,0.0005,32,60,1,150,leaky_relu,-0.697056483,35.8649789,1.057946234
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.4,0.0005,32,60,1,150,leaky_relu,-0.945405383,27.42616034,0.871452558
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,2,0.4,0.001,64,60,1,50,relu,-0.945016408,47.25738397,0.899575762
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.3,0.0001,32,60,1,100,leaky_relu,-1.533737117,47.25738397,1.025875903
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.5,0.0005,32,60,1,150,leaky_relu,-0.274430311,53.16455696,0.935292761
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,32,60,1,150,leaky_relu,-1.412461708,32.91139241,1.003453525
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,32,60,1,150,leaky_relu,-2.577852896,21.94092827,0.977399153
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0005,32,60,1,150,leaky_relu,-0.392692208,50.63291139,0.783416161
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.3,0.0005,32,60,1,150,leaky_relu,-23.82229413,4.641350211,0.793795178
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.4,0.0001,64,60,30,150,relu,-7.151289911,22.64957265,1.029193369
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.4,0.0001,32,60,30,150,relu,-9.401831096,17.09401709,0.946685064
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,3,0.5,0.0005,32,60,30,150,leaky_relu,-28.9511551,2.136752137,1.05026352
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.4,0.001,32,60,30,150,relu,-30.30001567,0,1.007509566
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.001,32,60,30,150,leaky_relu,-16.35365762,5.982905983,1.067150164
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,3,0.4,0.0001,64,60,30,150,leaky_relu,-11.32158357,17.52136752,1.033266647
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.3,0.0005,32,60,30,150,relu,-118.9075248,0,1.007509566
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.2,0.001,64,60,30,150,leaky_relu,-7.50229639,26.92307692,1.160258097
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,2,0.4,0.001,64,60,30,50,relu,-9.627213044,20.94017094,0.947614572
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,3,0.2,0.0001,64,60,30,150,leaky_relu,-10.56915449,20.94017094,1.133202703
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.0001,64,60,30,100,relu,-8.133646616,24.35897436,1.05393148
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.2,0.001,64,60,30,50,leaky_relu,-15.18809106,11.53846154,1.007509566
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0001,64,60,30,100,relu,-14.21362403,12.82051282,1.007509566
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.2,0.001,64,60,30,150,leaky_relu,-10.43578976,15.81196581,1.073146308
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.3,0.0005,64,60,30,100,relu,-9.624277505,19.23076923,0.960301059
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.5,0.0001,64,60,30,50,leaky_relu,-18.13498464,11.96581197,1.007509566
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.2,0.001,64,60,30,150,leaky_relu,-6.15629319,22.22222222,0.978295002
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.3,0.001,64,60,30,150,relu,-12.6490791,12.82051282,1.041921215
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.4,0.0001,64,60,30,50,leaky_relu,-24.41073726,11.11111111,1.007509566
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.5,0.0005,64,60,30,100,relu,-12.28719107,15.38461538,0.96906574
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,2,0.2,0.001,64,60,30,150,relu,-9.864830893,18.8034188,0.997103158
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.2,0.001,64,60,30,150,leaky_relu,-9.865553622,16.23931624,1.063391028
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.2,0.001,64,60,30,150,leaky_relu,-16.24485089,16.66666667,0.874729779
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,3,0.3,0.001,64,60,30,150,leaky_relu,-9.18953031,14.95726496,1.039192983
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,3,0.2,0.001,64,60,30,150,leaky_relu,-13.07536607,2.991452991,0.990658802
0,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,3,2,0.2,0.0005,64,60,1,50,relu,-3.091598205,18.56540084,0.825273678
1,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,2,0.5,0.0001,32,60,1,50,leaky_relu,-3.456990714,28.27004219,0.904022592
2,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.2,0.0001,64,60,1,50,relu,-5.6853208,26.16033755,0.892846649
3,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.3,0.001,64,60,1,50,relu,-5.48438177,20.67510549,0.867278183
4,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",128,2,3,0.3,0.0001,64,60,1,100,leaky_relu,-4.427516125,32.48945148,0.922110419
5,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,3,3,0.4,0.0001,64,60,1,100,leaky_relu,-2.52307793,44.7257384,0.986242302
6,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,2,0.3,0.001,64,60,1,150,leaky_relu,0.125431238,68.35443038,1.091832737
7,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,3,0.2,0.001,32,60,1,50,relu,-1.897236682,22.78481013,0.977963262
8,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.3,0.001,64,60,1,150,leaky_relu,-2.67688554,54.00843882,0.805909435
9,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",64,2,3,0.3,0.001,64,60,1,50,leaky_relu,-4.498510885,6.751054852,0.833681546
10,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,2,2,0.5,0.0005,32,60,1,150,leaky_relu,-2.884451525,9.70464135,0.758386273
11,"20MA, 50MA, RSI, MACD, Upper_BB, Williams_%R",32,3,2,0.2,0.001,32,60,1,150,relu,-1.543935899,16.4556962,0.724141024
