Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,3,0.2,0.0005,64,60,30,150,relu,-0.770951134,16.4556962,0.770016036
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0005,32,60,30,150,leaky_relu,0.250136953,22.78481013,1.381400286
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.5,0.0005,64,60,30,100,relu,-0.755107674,10.12658228,0.746034273
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.001,32,60,30,50,relu,0.352425979,28.27004219,1.150883509
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.001,64,60,30,100,relu,0.128945079,20.67510549,0.968649991
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0001,32,60,30,100,leaky_relu,-0.701443217,13.5021097,0.854247858
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.001,32,60,30,100,relu,0.130541306,15.61181435,1.64243411
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.5,0.0001,64,60,30,150,leaky_relu,-1.163531744,16.03375527,0.88754506
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.5,0.0005,32,60,30,100,leaky_relu,0.238425769,33.33333333,1.165039579
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.001,32,60,30,50,relu,0.121977255,20.67510549,0.936676852
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.4,0.0005,32,60,30,50,leaky_relu,-0.262475474,16.4556962,0.957755253
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.001,32,60,30,50,leaky_relu,0.202535617,19.83122363,1.302736224
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.4,0.0005,32,60,30,50,relu,-0.05558967,18.14345992,0.874644314
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.0001,32,60,30,150,leaky_relu,0.238996069,21.51898734,1.274977839
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.5,0.001,32,60,30,50,relu,0.061710979,23.20675105,1.089174686
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.4,0.0005,32,60,30,150,relu,0.006105144,29.11392405,1.057497351
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,0.335452836,31.64556962,1.144887289
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,0.302301698,28.27004219,1.444115321
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.5,0.001,32,60,30,50,relu,0.093182732,16.03375527,1.033749487
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,relu,0.207991777,30.80168776,1.194195706
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,0.231161457,23.62869198,1.074040723
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,0.02009757,20.67510549,0.831475592
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.001,32,60,30,50,leaky_relu,0.014245007,23.20675105,0.812975118
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.001,32,60,30,50,leaky_relu,0.11714065,28.27004219,0.903847555
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,3,3,0.5,0.001,64,60,1,100,relu,0.82278621,47.5,1.002691623
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,2,0.5,0.0005,64,60,1,150,relu,0.535669762,25.41666667,0.827799679
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,2,0.2,0.0005,32,60,1,50,relu,0.763688252,47.5,1.123307593
