Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.6,0.0005,64,60,1,100,0.809835002,75.41666667,0.765501033
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.0005,16,60,1,150,0.8107507,76.66666667,0.741114464
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.0005,32,60,1,150,-0.243186306,14.16666667,1.007934697
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.3,0.0005,32,60,1,100,0.51264468,51.66666667,0.913397949
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0005,64,60,1,100,0.592036424,49.58333333,0.910942067
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.0005,32,60,1,150,0.758387272,68.75,1.014379605
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.4,0.001,16,60,1,50,0.833727516,78.33333333,0.792547182
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.4,0.001,16,60,1,50,0.844505189,79.16666667,0.721049398
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.4,0.001,16,60,1,50,0.665989401,57.5,0.684303627
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,16,60,1,50,0.823609822,78.33333333,0.672961784
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,16,60,1,50,0.74449576,63.75,0.664596132
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.5,0.0001,16,60,1,50,0.6413219,54.58333333,0.788834107
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,1,50,0.902768614,90,0.876962247
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,1,150,0.899189035,88.33333333,0.717262646
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,1,50,-0.143174235,29.58333333,1.032844452
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.001,64,60,1,150,0.842646629,79.58333333,0.730075776
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,1,150,0.914209985,90.83333333,0.781559209
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.5,0.001,16,60,1,150,0.880366484,84.58333333,0.692733875
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.001,16,60,1,150,0.911414641,91.25,0.719450088
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.7,0.001,16,60,1,150,0.892548263,86.25,0.828014215
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.001,16,60,1,150,0.912075373,93.33333333,0.962993208
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.8,0.0001,32,60,30,50,-2.205173802,12.65822785,0.888282281
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0005,16,60,30,100,-0.429156227,25.3164557,1.157820101
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.0001,64,60,30,50,-4.736801955,7.172995781,0.828648974
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.0005,16,60,30,100,-0.173193306,34.17721519,1.479190453
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.0001,64,60,30,100,-0.267582598,43.45991561,1.08482576
