Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Sigmoid,0.03574228358196834,5.778143259286315,0.8451226522880255,51.66666666666667,0.9642169660849413
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.7,0.0005,16,60,1,150,"(16, 1)",Tanh,0.06475032285903304,12.740731940459582,0.4917151248581708,12.916666666666668,0.591329324997618
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.4,0.0005,16,60,30,50,"(25, 1)",Tanh,0.06624879301419483,11.83261164386233,0.40314524598184365,24.894514767932492,1.335496221734326
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.001,32,60,30,100,"(16, 1)",Tanh,0.0867700073395029,15.91282347525134,-0.023886897028879694,15.611814345991561,1.0877533547782707
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.30000000000000004,0.0001,16,60,30,50,"(25, 1)",ReLU,0.09007958665397477,16.492282648652672,-0.1034825917097455,16.455696202531644,1.1373019712259484
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.2,0.0005,64,60,30,50,"(16, 1)",Sigmoid,0.09350911900966559,17.363405691345086,-0.189106210996288,18.565400843881857,1.34643128135734
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0005,64,60,30,100,"(16, 1)",Sigmoid,0.09345820863569092,17.577323928447232,-0.1878117626507163,16.455696202531644,1.286369689746638
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.2,0.0005,32,60,30,50,"(16, 1)",Tanh,0.06968052026347203,12.638542943214373,0.33970883517457406,19.831223628691983,1.1557664281521707
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.7,0.0001,32,60,30,100,"(25, 1)",ReLU,0.09206060771009342,17.31646326738752,-0.1525516365441435,16.455696202531644,1.2708980036937985
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.6000000000000001,0.001,32,60,30,100,"(25, 1)",ReLU,0.08994195257612972,16.41834502045582,-0.10011310952112584,16.033755274261605,1.0888563807443494
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.4,0.001,32,60,30,50,"(25, 1)",Sigmoid,0.10408575505284039,14.57245849132637,-0.4733139835384359,23.20675105485232,1.33907024007676
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0001,64,60,30,100,"(16, 1)",Tanh,0.2825338756139411,53.42317667105683,-9.855598457362937,0.0,1.0
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.8,0.0005,16,60,30,150,"(25, 1)",Tanh,0.08391216342064946,15.126241657671159,0.04244759085161287,15.611814345991561,1.045555797317617
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.0005,16,60,30,50,"(16, 1)",Tanh,0.06610125368514125,11.792786597234379,0.40580073567359587,24.894514767932492,1.335496221734326
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.0005,16,60,30,50,"(16, 1)",Tanh,0.08032526003176993,14.501205526107523,0.12256087204524047,15.18987341772152,1.0695339500311358
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.5,0.0005,16,60,30,150,"(25, 1)",Tanh,0.07618666126071064,13.844489131976486,0.21064820563622233,16.033755274261605,1.0120354220894523
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.6000000000000001,0.0005,16,60,30,50,"(16, 1)",Tanh,0.0705073124020547,12.893326500114966,0.32394654287374036,17.72151898734177,1.3084736148918583
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.6000000000000001,0.0005,16,60,30,50,"(25, 1)",Tanh,0.072979704536804,12.822581034297063,0.27570261305589405,15.611814345991561,1.2163978727540348
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.4,0.0005,16,60,30,50,"(25, 1)",Tanh,0.0700533936319868,12.670068734029988,0.33262324700311163,18.565400843881857,1.2317694635565182
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.5,0.0005,16,60,30,150,"(16, 1)",Tanh,0.08040081964432967,14.521492028092512,0.12090933320754205,15.18987341772152,1.265822957330293
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.7,0.001,16,60,30,50,"(25, 1)",Sigmoid,0.08696518573261239,15.504037963995678,-0.028498291306014556,16.877637130801688,1.1600396750347752
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.4,0.0001,16,60,30,50,"(16, 1)",ReLU,0.09300497642782794,17.30954784173021,-0.1763189433193677,18.143459915611814,1.34643128135734
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.7,0.0005,64,60,30,150,"(25, 1)",Tanh,0.09009397008558029,16.555854143918353,-0.10383501636316939,16.877637130801688,1.106094791039344
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.2,0.0005,32,60,30,50,"(16, 1)",Tanh,0.06723876319593607,12.028660971349485,0.3851741065825365,24.894514767932492,1.4107379871326347
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.2,0.0005,32,60,30,50,"(16, 1)",Tanh,0.06935172092191298,12.647360311724315,0.34592552471876215,21.518987341772153,1.250469729357812
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.30000000000000004,0.0005,32,60,30,50,"(16, 1)",Tanh,0.06989001581485721,12.725567693513762,0.3357325157141562,25.31645569620253,1.2058105593717754
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.0005,16,60,30,50,"(16, 1)",Tanh,0.06626666879895567,11.847815040537677,0.4028231061793789,27.004219409282697,1.1569424277951044
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,0.6000000000000001,0.0001,32,60,1,100,"(16, 1)",ReLU,0.03901361963658043,6.0948281393342105,0.8154747504845951,50.83333333333333,1.4355139411442799
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.30000000000000004,0.0005,32,60,1,150,"(25, 1)",ReLU,0.02435777824166153,3.8157879799275456,0.9280718890197008,70.83333333333334,1.099106711449406
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,3,0.7,0.0005,32,60,1,150,"(16, 1)",Tanh,0.044535347666228,6.952902387749788,0.7595454473302549,44.583333333333336,1.289837852299815
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,0.8,0.0005,64,60,1,50,"(25, 1)",ReLU,0.08733984417778515,16.76425154944475,0.07519932984933475,21.25,0.7884268884519564
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,0.2,0.0005,32,60,1,50,"(16, 1)",Tanh,0.038668868267695,6.082982079422835,0.8187215272964842,47.91666666666667,1.7619869200220644
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.7,0.0005,32,60,1,150,"(16, 1)",ReLU,0.02539747491427075,3.9920289922742906,0.9218004254387829,70.41666666666667,1.2464475708619798
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,3,0.7,0.0005,32,60,1,150,"(25, 1)",ReLU,0.038585771761201065,5.941237045707036,0.8194997979402829,50.83333333333333,1.6138087245313923
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,2,0.8,0.001,64,60,1,100,"(16, 1)",Sigmoid,0.03586411918669069,5.988387512106484,0.8440649842256801,47.5,1.1359369878033778
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,2,0.30000000000000004,0.001,64,60,1,50,"(16, 1)",Sigmoid,0.06796706076917225,12.729375437688839,0.4399583985064486,25.0,0.8169383157378586
9,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,3,0.30000000000000004,0.0001,32,60,1,150,"(25, 1)",ReLU,0.03428822339511808,5.626887367603857,0.8574677054350138,50.416666666666664,0.9401260571045666
10,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.4,0.0001,16,60,1,150,"(25, 1)",Tanh,0.03528671191677247,5.515677007273479,0.8490456286196649,50.83333333333333,1.192541835371098
11,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.5,0.0005,16,60,1,150,"(25, 1)",ReLU,0.03005645526698911,4.987850587784791,0.8904786392557287,59.166666666666664,0.7782809690527184
12,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.5,0.0005,32,60,1,150,"(16, 1)",ReLU,0.04567194064158713,6.494866652568196,0.7471154823329718,46.25,1.4046816561950992
13,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.2,0.0005,32,60,1,150,"(25, 1)",ReLU,0.029346471538124412,4.565902303139316,0.8955916834843631,61.66666666666667,1.4013028699924486
14,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.4,0.001,32,60,1,150,"(16, 1)",ReLU,0.023398444477183672,3.6157964808601775,0.9336261081410642,74.16666666666667,0.9081457876176948
15,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.4,0.001,16,60,1,100,"(25, 1)",Sigmoid,0.02659634742675821,4.106075935891635,0.9142434491588971,65.41666666666667,1.0370860055031503
16,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.4,0.001,32,60,1,150,"(25, 1)",ReLU,0.02549785304470995,4.31964139667388,0.9211810694660132,60.0,0.835154700040164
17,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.30000000000000004,0.001,32,60,1,150,"(16, 1)",ReLU,0.03983486639880443,6.637120563441782,0.8076243766288516,35.41666666666667,1.0057486528071669
18,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.4,0.001,16,60,1,100,"(16, 1)",Tanh,0.033546765295762754,5.630127509051029,0.8635653721172664,51.66666666666667,1.006047988888007
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,2,0.5,0.001,64,60,1,50,"(25, 1)",Sigmoid,0.07502318367838418,14.159099209793743,0.31763885378679857,24.166666666666668,0.7803157840134708
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",16,3,0.2,0.0001,32,60,1,150,"(25, 1)",ReLU,0.03727838151146666,6.051689787815433,0.8315242464502361,49.166666666666664,1.2247900094758102
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.6000000000000001,0.0005,32,60,1,150,"(16, 1)",ReLU,0.022783359754367905,3.5617826855663197,0.9370698385579805,76.66666666666667,1.1753060095937313
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,2,0.6000000000000001,0.0005,32,60,1,150,"(16, 1)",ReLU,0.037139443465150634,6.808207306072646,0.8327777381734098,45.416666666666664,0.6702637645787759
