Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy
JPM,"20MA, 50MA, Signal_Line, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,17.15163763,7.889046861,0.804863821,32.2147651
JPM,"20MA, 50MA, Signal_Line, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,16.05135815,7.646293749,0.829096805,31.67785235
JPM,"20MA, 50MA, Signal_Line, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,26.04337409,11.93848792,0.5500947,20.53691275
JPM,"20MA, 50MA, Signal_Line, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,15.80378411,7.193457371,0.834328125,36.37583893
JPM,"20MA, 50MA, Signal_Line, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,20.71292924,9.826601101,0.715416541,22.68456376
JPM,"20MA, 50MA, Signal_Line, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,16.64525282,7.200596571,0.816216126,39.59731544
JPM,"20MA, 50MA, Signal_Line, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,7.049005781,3.813035722,0.967040369,72.48322148
JPM,"20MA, 50MA, Signal_Line, CCI, ATR",32,3,0.2,0.001,16,100,adam,19.70495334,8.602905824,0.742440583,31.40939597
JPM,"20MA, 50MA, Signal_Line, CCI, ROC",32,3,0.2,0.001,16,100,adam,20.89360334,9.007749924,0.710430176,31.54362416
JPM,"20MA, 50MA, Signal_Line, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,12.42920377,5.477647222,0.897526109,50.60402685
JPM,"20MA, 50MA, Signal_Line, CCI, OBV",32,3,0.2,0.001,16,100,adam,6.557746571,3.561191453,0.971474329,74.09395973
JPM,"20MA, 50MA, Signal_Line, ATR, ROC",32,3,0.2,0.001,16,100,adam,10.6633425,4.8425211,0.924575346,56.24161074
JPM,"20MA, 50MA, Signal_Line, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,10.11009833,4.551794342,0.932198802,59.86577181
JPM,"20MA, 50MA, Signal_Line, ATR, OBV",32,3,0.2,0.001,16,100,adam,6.290496588,3.556362504,0.973751985,75.43624161
JPM,"20MA, 50MA, Signal_Line, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,9.520435612,4.90122555,0.939877054,53.42281879
JPM,"20MA, 50MA, Signal_Line, ROC, OBV",32,3,0.2,0.001,16,100,adam,12.11647245,5.358656291,0.902617928,51.67785235
JPM,"20MA, 50MA, Signal_Line, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,11.11231957,5.269781524,0.918090164,51.81208054
JPM,"20MA, 50MA, Upper_BB, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,14.38198762,6.167141946,0.86279674,46.44295302
JPM,"20MA, 50MA, Upper_BB, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,8.078598649,4.566919336,0.956708895,65.63758389
JPM,"20MA, 50MA, Upper_BB, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,22.56709516,10.26589599,0.662185777,23.08724832
JPM,"20MA, 50MA, Upper_BB, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,7.270289456,3.655752103,0.964938539,74.4966443
JPM,"20MA, 50MA, Upper_BB, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,10.35586698,5.374461666,0.928862346,48.59060403
JPM,"20MA, 50MA, Upper_BB, CCI, ATR",32,3,0.2,0.001,16,100,adam,9.330512502,4.834838974,0.942251912,55.30201342
